date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:02:09	3540/3540	---M--	200	added ('OK')	text/plain	etag:0x8DC31F8517A504C	https://www.helloasso.com/robots.txt		(from )
10:02:10	204129/204129	---MCZ	200	added ('OK')	text/html	etag:%2231d61-WNzqL2eelgi7guFUaLLyvlH7lNg%22	https://www.helloasso.com/associations/bde-efrei-paris/evenements/soiree-d-integration-bordeaux/	C:/Mes%20Sites%20Web/hellloassoc/www.helloasso.com/associations/bde-efrei-paris/evenements/soiree-d-integration-bordeaux/index.html	(from )
10:02:11	211020/211020	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Mar%202024%2009:02:12%20GMT	https://cdn.helloasso.com/img/photos/evenements/croppedimage-862cb39d24d046a0b7686a64a38519c7.png?resize=fill:500:360	C:/Mes%20Sites%20Web/hellloassoc/cdn.helloasso.com/img/photos/evenements/croppedimage-862cb39d24d046a0b7686a64a38519c78629.png	(from https://www.helloasso.com/associations/bde-efrei-paris/evenements/soiree-d-integration-bordeaux/)
10:02:12	16786/16786	---M--	200	added ('OK')	image/png	etag:W/%224192-18e0dfa0d38%22	https://www.helloasso.com/forms/apple-touch-icon.png	C:/Mes%20Sites%20Web/hellloassoc/www.helloasso.com/forms/apple-touch-icon.png	(from https://www.helloasso.com/associations/bde-efrei-paris/evenements/soiree-d-integration-bordeaux/)
10:02:12	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2012%20Mar%202024%2009:02:13%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Mes%20Sites%20Web/hellloassoc/www.googletagmanager.com/gtm.25445.delayed	(from https://www.helloasso.com/associations/bde-efrei-paris/evenements/soiree-d-integration-bordeaux/)
10:02:13	2693/2693	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a85-18e31088f1d%22	https://www.helloasso.com/forms/6d747b5.js	C:/Mes%20Sites%20Web/hellloassoc/www.helloasso.com/forms/6d747b5.js	(from https://www.helloasso.com/associations/bde-efrei-paris/evenements/soiree-d-integration-bordeaux/)
10:02:25	299496/299496	---MCZ	200	added ('OK')	application/javascript	etag:W/%22491e8-18e264de48f%22	https://www.helloasso.com/forms/d47e587.js	C:/Mes%20Sites%20Web/hellloassoc/www.helloasso.com/forms/d47e587.js	(from https://www.helloasso.com/associations/bde-efrei-paris/evenements/soiree-d-integration-bordeaux/)
10:02:26	301096/301096	---MCZ	200	added ('OK')	application/javascript	etag:W/%2249828-18e264dce1b%22	https://www.helloasso.com/forms/d8c7155.js	C:/Mes%20Sites%20Web/hellloassoc/www.helloasso.com/forms/d8c7155.js	(from https://www.helloasso.com/associations/bde-efrei-paris/evenements/soiree-d-integration-bordeaux/)
10:02:26	7953/7953	---MCZ	200	added ('OK')	application/javascript	etag:W/%221f11-18e31088fa1%22	https://www.helloasso.com/forms/3235d75.js	C:/Mes%20Sites%20Web/hellloassoc/www.helloasso.com/forms/3235d75.js	(from https://www.helloasso.com/associations/bde-efrei-paris/evenements/soiree-d-integration-bordeaux/)
10:02:27	3192966/3192966	---MCZ	200	added ('OK')	application/javascript	etag:W/%2230b886-18e31088f79%22	https://www.helloasso.com/forms/4801d4e.js	C:/Mes%20Sites%20Web/hellloassoc/www.helloasso.com/forms/4801d4e.js	(from https://www.helloasso.com/associations/bde-efrei-paris/evenements/soiree-d-integration-bordeaux/)
10:02:27	478781/478781	---MCZ	200	added ('OK')	application/javascript	etag:W/%2274e3d-18e264de49b%22	https://www.helloasso.com/forms/966b8e4.js	C:/Mes%20Sites%20Web/hellloassoc/www.helloasso.com/forms/966b8e4.js	(from https://www.helloasso.com/associations/bde-efrei-paris/evenements/soiree-d-integration-bordeaux/)
10:02:27	1259/1259	---M--	200	added ('OK')	image/png	etag:W/%224eb-18e19087b10%22	https://www.helloasso.com/forms/img/layers-2x.8f2c4d1.png	C:/Mes%20Sites%20Web/hellloassoc/www.helloasso.com/forms/img/layers-2x.8f2c4d1.png	(from https://www.helloasso.com/associations/bde-efrei-paris/evenements/soiree-d-integration-bordeaux/)
10:02:28	1466/1466	---M--	200	added ('OK')	image/png	etag:W/%225ba-18e19087b10%22	https://www.helloasso.com/forms/img/marker-icon.2b3e1fa.png	C:/Mes%20Sites%20Web/hellloassoc/www.helloasso.com/forms/img/marker-icon.2b3e1fa.png	(from https://www.helloasso.com/associations/bde-efrei-paris/evenements/soiree-d-integration-bordeaux/)
10:02:30	563667/563667	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Mar%202024%2009:02:30%20GMT	https://cdn.helloasso.com/img/photos/evenements/croppedimage-1d39a5316ff2419f968238d3d31adac5.png?resize=fill:1920:250	C:/Mes%20Sites%20Web/hellloassoc/cdn.helloasso.com/img/photos/evenements/croppedimage-1d39a5316ff2419f968238d3d31adac5a7e7.png	(from https://www.helloasso.com/associations/bde-efrei-paris/evenements/soiree-d-integration-bordeaux/)
10:02:30	3613/3613	---M--	200	added ('OK')	image/png	etag:W/%22e1d-18e19087b10%22	https://www.helloasso.com/forms/img/logo-pci.7fb7b48.png	C:/Mes%20Sites%20Web/hellloassoc/www.helloasso.com/forms/img/logo-pci.7fb7b48.png	(from https://www.helloasso.com/associations/bde-efrei-paris/evenements/soiree-d-integration-bordeaux/)
